specialty,date,year,wait_type,total_waiting
Cardio-Thoracic Surgery,2022-01-27,2022,Outpatient,78.0
Cardiology,2022-01-27,2022,Outpatient,74.0
Child/Adolescent Psychiatry,2022-01-27,2022,Outpatient,23.0
Clinical (Medical) Genetics,2022-01-27,2022,Outpatient,1931.0
Clinical Immunology,2022-01-27,2022,Outpatient,1226.0
Dental Surgery,2022-01-27,2022,Outpatient,550.0
Dermatology,2022-01-27,2022,Outpatient,3569.0
Developmental Paediatrics,2022-01-27,2022,Outpatient,656.0
Endocrinology,2022-01-27,2022,Outpatient,22.0
Gastro-Enterology,2022-01-27,2022,Outpatient,25.0
General Medicine,2022-01-27,2022,Outpatient,41.0
General Surgery,2022-01-27,2022,Outpatient,1788.0
Gynaecology,2022-01-27,2022,Outpatient,625.0
Haematology,2022-01-27,2022,Outpatient,68.0
Immunology,2022-01-27,2022,Outpatient,503.0
Maxillo-Facial,2022-01-27,2022,Outpatient,376.0
Neurology,2022-01-27,2022,Outpatient,51.0
Ophthalmology,2022-01-27,2022,Outpatient,5786.0
Oral Surgery,2022-01-27,2022,Outpatient,215.0
Orthopaedics,2022-01-27,2022,Outpatient,2922.0
Otolaryngology (ENT),2022-01-27,2022,Outpatient,10937.0
Paed Cardiology,2022-01-27,2022,Outpatient,3617.0
Paed Endocrinology,2022-01-27,2022,Outpatient,832.0
Paed Gastro-Enterol,2022-01-27,2022,Outpatient,752.0
Paed Haematology,2022-01-27,2022,Outpatient,301.0
Paed Metabolic Medicine,2022-01-27,2022,Outpatient,96.0
Paed Nephrology,2022-01-27,2022,Outpatient,541.0
Paed Orthopaedic,2022-01-27,2022,Outpatient,4128.0
Paediatric Dermatology,2022-01-27,2022,Outpatient,5671.0
Paediatric ENT,2022-01-27,2022,Outpatient,5835.0
Paediatric Infectious Diseases,2022-01-27,2022,Outpatient,155.0
Paediatric Neurology,2022-01-27,2022,Outpatient,1228.0
Paediatric Neurosurgery,2022-01-27,2022,Outpatient,55.0
Paediatric Respiratory Medicine,2022-01-27,2022,Outpatient,1870.0
Paediatric Surgery,2022-01-27,2022,Outpatient,4982.0
Paediatric Urology,2022-01-27,2022,Outpatient,1235.0
Paediatrics,2022-01-27,2022,Outpatient,15613.0
Pain Relief,2022-01-27,2022,Outpatient,36.0
Plastic Surgery,2022-01-27,2022,Outpatient,2146.0
Rheumatology,2022-01-27,2022,Outpatient,1395.0
Small Volume Specialities,2022-01-27,2022,Outpatient,118.0
Urology,2022-01-27,2022,Outpatient,2846.0
Anaesthetics,2022-02-24,2022,Outpatient,320.0
Breast Surgery,2022-02-24,2022,Outpatient,3322.0
Cardio-Thoracic Surgery,2022-02-24,2022,Outpatient,341.0
Cardiology,2022-02-24,2022,Outpatient,33959.0
Chemical Pathology,2022-02-24,2022,Outpatient,113.0
Clinical (Medical) Genetics,2022-02-24,2022,Outpatient,2262.0
Clinical Immunology,2022-02-24,2022,Outpatient,1329.0
Clinical Neurophysiology,2022-02-24,2022,Outpatient,2120.0
Dermatology,2022-02-24,2022,Outpatient,39324.0
Diabetes Mellitus,2022-02-24,2022,Outpatient,1939.0
Endocrinology,2022-02-24,2022,Outpatient,17175.0
Gastro-Enterology,2022-02-24,2022,Outpatient,16256.0
Gastro-Intestinal Surgery,2022-02-24,2022,Outpatient,692.0
General Medicine,2022-02-24,2022,Outpatient,19972.0
General Surgery,2022-02-24,2022,Outpatient,44401.0
Geriatric Medicine,2022-02-24,2022,Outpatient,3771.0
Gynaecology,2022-02-24,2022,Outpatient,30390.0
Haematology,2022-02-24,2022,Outpatient,8187.0
Hepato-Biliary Surgery,2022-02-24,2022,Outpatient,175.0
Infectious Diseases,2022-02-24,2022,Outpatient,571.0
Maxillo-Facial,2022-02-24,2022,Outpatient,5228.0
Metabolic Medicine,2022-02-24,2022,Outpatient,188.0
Microbiology,2022-02-24,2022,Outpatient,48.0
Nephrology,2022-02-24,2022,Outpatient,3346.0
Neurology,2022-02-24,2022,Outpatient,23815.0
Neurosurgery,2022-02-24,2022,Outpatient,6936.0
Oncology,2022-02-24,2022,Outpatient,568.0
Ophthalmology,2022-02-24,2022,Outpatient,38652.0
Oral Surgery,2022-02-24,2022,Outpatient,2798.0
Orthopaedics,2022-02-24,2022,Outpatient,68992.0
Otolaryngology (ENT),2022-02-24,2022,Outpatient,50579.0
Paed Cardiology,2022-02-24,2022,Outpatient,42.0
Paediatric Neurology,2022-02-24,2022,Outpatient,24.0
Paediatrics,2022-02-24,2022,Outpatient,163.0
Pain Relief,2022-02-24,2022,Outpatient,14138.0
Palliative Medicine,2022-02-24,2022,Outpatient,20.0
Pathology,2022-02-24,2022,Outpatient,171.0
Plastic Surgery,2022-02-24,2022,Outpatient,17557.0
Psychiatry,2022-02-24,2022,Outpatient,525.0
Radiology,2022-02-24,2022,Outpatient,26.0
Radiotherapy,2022-02-24,2022,Outpatient,54.0
Respiratory Medicine,2022-02-24,2022,Outpatient,19145.0
Rheumatology,2022-02-24,2022,Outpatient,17084.0
Small Volume Specialities,2022-02-24,2022,Outpatient,110.0
Urology,2022-02-24,2022,Outpatient,29186.0
Vascular Surgery,2022-02-24,2022,Outpatient,14687.0
Cardio-Thoracic Surgery,2022-02-24,2022,Outpatient,80.0
Cardiology,2022-02-24,2022,Outpatient,81.0
Child/Adolescent Psychiatry,2022-02-24,2022,Outpatient,22.0
Clinical (Medical) Genetics,2022-02-24,2022,Outpatient,1883.0
Clinical Immunology,2022-02-24,2022,Outpatient,1148.0
Dental Surgery,2022-02-24,2022,Outpatient,541.0
Dermatology,2022-02-24,2022,Outpatient,3561.0
Developmental Paediatrics,2022-02-24,2022,Outpatient,637.0
Gastro-Enterology,2022-02-24,2022,Outpatient,24.0
General Medicine,2022-02-24,2022,Outpatient,42.0
General Surgery,2022-02-24,2022,Outpatient,1818.0
Gynaecology,2022-02-24,2022,Outpatient,613.0
Haematology,2022-02-24,2022,Outpatient,71.0
Immunology,2022-02-24,2022,Outpatient,498.0
Maxillo-Facial,2022-02-24,2022,Outpatient,365.0
Neurology,2022-02-24,2022,Outpatient,41.0
Ophthalmology,2022-02-24,2022,Outpatient,5737.0
Oral Surgery,2022-02-24,2022,Outpatient,227.0
Orthopaedics,2022-02-24,2022,Outpatient,2933.0
Otolaryngology (ENT),2022-02-24,2022,Outpatient,11346.0
Paed Cardiology,2022-02-24,2022,Outpatient,3807.0
Paed Endocrinology,2022-02-24,2022,Outpatient,834.0
Paed Gastro-Enterol,2022-02-24,2022,Outpatient,700.0
Paed Haematology,2022-02-24,2022,Outpatient,294.0
Paed Metabolic Medicine,2022-02-24,2022,Outpatient,47.0
Paed Nephrology,2022-02-24,2022,Outpatient,527.0
Paed Orthopaedic,2022-02-24,2022,Outpatient,4187.0
Paediatric Dermatology,2022-02-24,2022,Outpatient,5806.0
Paediatric ENT,2022-02-24,2022,Outpatient,5407.0
Paediatric Infectious Diseases,2022-02-24,2022,Outpatient,144.0
Paediatric Neurology,2022-02-24,2022,Outpatient,1243.0
Paediatric Neurosurgery,2022-02-24,2022,Outpatient,53.0
Paediatric Respiratory Medicine,2022-02-24,2022,Outpatient,1924.0
Paediatric Surgery,2022-02-24,2022,Outpatient,5166.0
Paediatric Urology,2022-02-24,2022,Outpatient,1246.0
Paediatrics,2022-02-24,2022,Outpatient,16408.0
Pain Relief,2022-02-24,2022,Outpatient,23.0
Plastic Surgery,2022-02-24,2022,Outpatient,2131.0
Rheumatology,2022-02-24,2022,Outpatient,1364.0
Small Volume Specialities,2022-02-24,2022,Outpatient,122.0
Urology,2022-02-24,2022,Outpatient,2834.0
Vascular Surgery,2022-02-24,2022,Outpatient,21.0
Anaesthetics,2022-03-31,2022,Outpatient,318.0
Audiological Medicine,2022-03-31,2022,Outpatient,33.0
Breast Surgery,2022-03-31,2022,Outpatient,2881.0
Cardio-Thoracic Surgery,2022-03-31,2022,Outpatient,310.0
Cardiology,2022-03-31,2022,Outpatient,33816.0
Chemical Pathology,2022-03-31,2022,Outpatient,112.0
Clinical (Medical) Genetics,2022-03-31,2022,Outpatient,2401.0
Clinical Immunology,2022-03-31,2022,Outpatient,1451.0
Clinical Neurophysiology,2022-03-31,2022,Outpatient,2150.0
Dermatology,2022-03-31,2022,Outpatient,39282.0
Diabetes Mellitus,2022-03-31,2022,Outpatient,1923.0
Endocrinology,2022-03-31,2022,Outpatient,17691.0
Gastro-Enterology,2022-03-31,2022,Outpatient,16396.0
Gastro-Intestinal Surgery,2022-03-31,2022,Outpatient,740.0
General Medicine,2022-03-31,2022,Outpatient,20214.0
General Surgery,2022-03-31,2022,Outpatient,43754.0
Geriatric Medicine,2022-03-31,2022,Outpatient,3727.0
Gynaecology,2022-03-31,2022,Outpatient,30253.0
Haematology,2022-03-31,2022,Outpatient,8275.0
Hepato-Biliary Surgery,2022-03-31,2022,Outpatient,132.0
Infectious Diseases,2022-03-31,2022,Outpatient,637.0
Maxillo-Facial,2022-03-31,2022,Outpatient,5122.0
Metabolic Medicine,2022-03-31,2022,Outpatient,206.0
Microbiology,2022-03-31,2022,Outpatient,56.0
Nephrology,2022-03-31,2022,Outpatient,3417.0
Neurology,2022-03-31,2022,Outpatient,23739.0
Neurosurgery,2022-03-31,2022,Outpatient,7221.0
Oncology,2022-03-31,2022,Outpatient,546.0
Ophthalmology,2022-03-31,2022,Outpatient,38511.0
Oral Surgery,2022-03-31,2022,Outpatient,2659.0
Orthopaedics,2022-03-31,2022,Outpatient,68787.0
Otolaryngology (ENT),2022-03-31,2022,Outpatient,49814.0
Paed Cardiology,2022-03-31,2022,Outpatient,43.0
Paediatric Neurology,2022-03-31,2022,Outpatient,30.0
Paediatrics,2022-03-31,2022,Outpatient,153.0
Pain Relief,2022-03-31,2022,Outpatient,14056.0
Palliative Medicine,2022-03-31,2022,Outpatient,23.0
Pathology,2022-03-31,2022,Outpatient,164.0
Plastic Surgery,2022-03-31,2022,Outpatient,17790.0
Psychiatry,2022-03-31,2022,Outpatient,532.0
Radiology,2022-03-31,2022,Outpatient,22.0
Radiotherapy,2022-03-31,2022,Outpatient,59.0
Respiratory Medicine,2022-03-31,2022,Outpatient,18632.0
Rheumatology,2022-03-31,2022,Outpatient,16635.0
Small Volume Specialities,2022-03-31,2022,Outpatient,97.0
Urology,2022-03-31,2022,Outpatient,29199.0
Vascular Surgery,2022-03-31,2022,Outpatient,14598.0
Breast Surgery,2022-03-31,2022,Outpatient,21.0
Cardio-Thoracic Surgery,2022-03-31,2022,Outpatient,68.0
Cardiology,2022-03-31,2022,Outpatient,88.0
Child/Adolescent Psychiatry,2022-03-31,2022,Outpatient,90.0
Clinical (Medical) Genetics,2022-03-31,2022,Outpatient,1856.0
Clinical Immunology,2022-03-31,2022,Outpatient,1102.0
Dental Surgery,2022-03-31,2022,Outpatient,533.0
Dermatology,2022-03-31,2022,Outpatient,3494.0
Developmental Paediatrics,2022-03-31,2022,Outpatient,627.0
Gastro-Enterology,2022-03-31,2022,Outpatient,25.0
General Medicine,2022-03-31,2022,Outpatient,38.0
General Surgery,2022-03-31,2022,Outpatient,1782.0
Gynaecology,2022-03-31,2022,Outpatient,625.0
Haematology,2022-03-31,2022,Outpatient,77.0
Immunology,2022-03-31,2022,Outpatient,485.0
Maxillo-Facial,2022-03-31,2022,Outpatient,363.0
Neurology,2022-03-31,2022,Outpatient,43.0
Ophthalmology,2022-03-31,2022,Outpatient,5572.0
Oral Surgery,2022-03-31,2022,Outpatient,220.0
Orthopaedics,2022-03-31,2022,Outpatient,2972.0
Otolaryngology (ENT),2022-03-31,2022,Outpatient,10819.0
Paed Cardiology,2022-03-31,2022,Outpatient,3912.0
Paed Endocrinology,2022-03-31,2022,Outpatient,845.0
Paed Gastro-Enterol,2022-03-31,2022,Outpatient,707.0
Paed Haematology,2022-03-31,2022,Outpatient,289.0
Paed Metabolic Medicine,2022-03-31,2022,Outpatient,55.0
Paed Nephrology,2022-03-31,2022,Outpatient,522.0
Paed Orthopaedic,2022-03-31,2022,Outpatient,4281.0
Paediatric Dermatology,2022-03-31,2022,Outpatient,5898.0
Paediatric ENT,2022-03-31,2022,Outpatient,5532.0
Paediatric Infectious Diseases,2022-03-31,2022,Outpatient,154.0
Paediatric Neurology,2022-03-31,2022,Outpatient,1246.0
Paediatric Neurosurgery,2022-03-31,2022,Outpatient,69.0
Paediatric Respiratory Medicine,2022-03-31,2022,Outpatient,1986.0
Paediatric Surgery,2022-03-31,2022,Outpatient,5183.0
Paediatric Urology,2022-03-31,2022,Outpatient,1285.0
Paediatrics,2022-03-31,2022,Outpatient,17088.0
Pain Relief,2022-03-31,2022,Outpatient,37.0
Plastic Surgery,2022-03-31,2022,Outpatient,2129.0
Rheumatology,2022-03-31,2022,Outpatient,1355.0
Small Volume Specialities,2022-03-31,2022,Outpatient,90.0
Urology,2022-03-31,2022,Outpatient,2859.0
Vascular Surgery,2022-03-31,2022,Outpatient,25.0
Anaesthetics,2022-04-28,2022,Outpatient,317.0
Audiological Medicine,2022-04-28,2022,Outpatient,52.0
Breast Surgery,2022-04-28,2022,Outpatient,2667.0
Cardio-Thoracic Surgery,2022-04-28,2022,Outpatient,334.0
Cardiology,2022-04-28,2022,Outpatient,33064.0
Chemical Pathology,2022-04-28,2022,Outpatient,114.0
Clinical (Medical) Genetics,2022-04-28,2022,Outpatient,2524.0
Clinical Immunology,2022-04-28,2022,Outpatient,1454.0
Clinical Neurophysiology,2022-04-28,2022,Outpatient,2155.0
Dermatology,2022-04-28,2022,Outpatient,39629.0
Diabetes Mellitus,2022-04-28,2022,Outpatient,1929.0
Endocrinology,2022-04-28,2022,Outpatient,17909.0
Gastro-Enterology,2022-04-28,2022,Outpatient,16401.0
Gastro-Intestinal Surgery,2022-04-28,2022,Outpatient,788.0
General Medicine,2022-04-28,2022,Outpatient,20739.0
General Surgery,2022-04-28,2022,Outpatient,43198.0
Geriatric Medicine,2022-04-28,2022,Outpatient,3759.0
Gynaecology,2022-04-28,2022,Outpatient,30081.0
Haematology,2022-04-28,2022,Outpatient,8311.0
Hepato-Biliary Surgery,2022-04-28,2022,Outpatient,123.0
Infectious Diseases,2022-04-28,2022,Outpatient,671.0
Maxillo-Facial,2022-04-28,2022,Outpatient,4927.0
Metabolic Medicine,2022-04-28,2022,Outpatient,195.0
Microbiology,2022-04-28,2022,Outpatient,46.0
Nephrology,2022-04-28,2022,Outpatient,3486.0
Neurology,2022-04-28,2022,Outpatient,24114.0
Neurosurgery,2022-04-28,2022,Outpatient,7459.0
Oncology,2022-04-28,2022,Outpatient,630.0
Ophthalmology,2022-04-28,2022,Outpatient,38555.0
Oral Surgery,2022-04-28,2022,Outpatient,2562.0
Orthopaedics,2022-04-28,2022,Outpatient,68674.0
Otolaryngology (ENT),2022-04-28,2022,Outpatient,49055.0
Paed Cardiology,2022-04-28,2022,Outpatient,39.0
Paediatric Neurology,2022-04-28,2022,Outpatient,32.0
Paediatrics,2022-04-28,2022,Outpatient,161.0
Pain Relief,2022-04-28,2022,Outpatient,14050.0
Palliative Medicine,2022-04-28,2022,Outpatient,27.0
Pathology,2022-04-28,2022,Outpatient,161.0
Plastic Surgery,2022-04-28,2022,Outpatient,17807.0
Psychiatry,2022-04-28,2022,Outpatient,517.0
Radiology,2022-04-28,2022,Outpatient,38.0
Radiotherapy,2022-04-28,2022,Outpatient,58.0
Respiratory Medicine,2022-04-28,2022,Outpatient,18893.0
Rheumatology,2022-04-28,2022,Outpatient,16627.0
Small Volume Specialities,2022-04-28,2022,Outpatient,107.0
Urology,2022-04-28,2022,Outpatient,28808.0
Vascular Surgery,2022-04-28,2022,Outpatient,14585.0
Breast Surgery,2022-04-28,2022,Outpatient,22.0
Cardio-Thoracic Surgery,2022-04-28,2022,Outpatient,68.0
Cardiology,2022-04-28,2022,Outpatient,79.0
Child/Adolescent Psychiatry,2022-04-28,2022,Outpatient,68.0
Clinical (Medical) Genetics,2022-04-28,2022,Outpatient,1847.0
Clinical Immunology,2022-04-28,2022,Outpatient,1074.0
Dental Surgery,2022-04-28,2022,Outpatient,569.0
Dermatology,2022-04-28,2022,Outpatient,3608.0
Developmental Paediatrics,2022-04-28,2022,Outpatient,598.0
Gastro-Enterology,2022-04-28,2022,Outpatient,32.0
General Medicine,2022-04-28,2022,Outpatient,43.0
General Surgery,2022-04-28,2022,Outpatient,1775.0
Gynaecology,2022-04-28,2022,Outpatient,635.0
Haematology,2022-04-28,2022,Outpatient,79.0
Immunology,2022-04-28,2022,Outpatient,484.0
Maxillo-Facial,2022-04-28,2022,Outpatient,343.0
Neurology,2022-04-28,2022,Outpatient,50.0
Ophthalmology,2022-04-28,2022,Outpatient,5411.0
Oral Surgery,2022-04-28,2022,Outpatient,223.0
Orthopaedics,2022-04-28,2022,Outpatient,3085.0
Otolaryngology (ENT),2022-04-28,2022,Outpatient,10488.0
Paed Cardiology,2022-04-28,2022,Outpatient,4026.0
Paed Endocrinology,2022-04-28,2022,Outpatient,883.0
Paed Gastro-Enterol,2022-04-28,2022,Outpatient,714.0
Paed Haematology,2022-04-28,2022,Outpatient,300.0
Paed Metabolic Medicine,2022-04-28,2022,Outpatient,55.0
Paed Nephrology,2022-04-28,2022,Outpatient,501.0
Paed Orthopaedic,2022-04-28,2022,Outpatient,4397.0
Paediatric Dermatology,2022-04-28,2022,Outpatient,5830.0
Paediatric ENT,2022-04-28,2022,Outpatient,5609.0
Paediatric Infectious Diseases,2022-04-28,2022,Outpatient,141.0
Paediatric Neurology,2022-04-28,2022,Outpatient,1317.0
Paediatric Neurosurgery,2022-04-28,2022,Outpatient,54.0
Paediatric Respiratory Medicine,2022-04-28,2022,Outpatient,1987.0
Paediatric Surgery,2022-04-28,2022,Outpatient,5289.0
Paediatric Urology,2022-04-28,2022,Outpatient,1283.0
Paediatrics,2022-04-28,2022,Outpatient,17567.0
Pain Relief,2022-04-28,2022,Outpatient,45.0
Plastic Surgery,2022-04-28,2022,Outpatient,2110.0
Rheumatology,2022-04-28,2022,Outpatient,1271.0
Small Volume Specialities,2022-04-28,2022,Outpatient,89.0
Urology,2022-04-28,2022,Outpatient,2871.0
Vascular Surgery,2022-04-28,2022,Outpatient,22.0
Anaesthetics,2022-05-26,2022,Outpatient,333.0
Audiological Medicine,2022-05-26,2022,Outpatient,79.0
Breast Surgery,2022-05-26,2022,Outpatient,2448.0
Cardio-Thoracic Surgery,2022-05-26,2022,Outpatient,381.0
Cardiology,2022-05-26,2022,Outpatient,33373.0
Chemical Pathology,2022-05-26,2022,Outpatient,115.0
Clinical (Medical) Genetics,2022-05-26,2022,Outpatient,2599.0
Clinical Immunology,2022-05-26,2022,Outpatient,1428.0
Clinical Neurophysiology,2022-05-26,2022,Outpatient,2168.0
Dermatology,2022-05-26,2022,Outpatient,39263.0
Diabetes Mellitus,2022-05-26,2022,Outpatient,1948.0
Endocrinology,2022-05-26,2022,Outpatient,18767.0
Gastro-Enterology,2022-05-26,2022,Outpatient,16363.0
Gastro-Intestinal Surgery,2022-05-26,2022,Outpatient,733.0
General Medicine,2022-05-26,2022,Outpatient,20935.0
General Surgery,2022-05-26,2022,Outpatient,42925.0
Geriatric Medicine,2022-05-26,2022,Outpatient,3654.0
Gynaecology,2022-05-26,2022,Outpatient,30493.0
Haematology,2022-05-26,2022,Outpatient,8475.0
Hepato-Biliary Surgery,2022-05-26,2022,Outpatient,115.0
Infectious Diseases,2022-05-26,2022,Outpatient,707.0
Maxillo-Facial,2022-05-26,2022,Outpatient,4747.0
Metabolic Medicine,2022-05-26,2022,Outpatient,248.0
Microbiology,2022-05-26,2022,Outpatient,41.0
Nephrology,2022-05-26,2022,Outpatient,3508.0
Neurology,2022-05-26,2022,Outpatient,24097.0
Neurosurgery,2022-05-26,2022,Outpatient,7827.0
Oncology,2022-05-26,2022,Outpatient,553.0
Ophthalmology,2022-05-26,2022,Outpatient,38713.0
Oral Surgery,2022-05-26,2022,Outpatient,2486.0
Orthopaedics,2022-05-26,2022,Outpatient,67235.0
Otolaryngology (ENT),2022-05-26,2022,Outpatient,48560.0
Paed Cardiology,2022-05-26,2022,Outpatient,31.0
Paediatric Neurology,2022-05-26,2022,Outpatient,29.0
Paediatrics,2022-05-26,2022,Outpatient,154.0
Pain Relief,2022-05-26,2022,Outpatient,14214.0
Palliative Medicine,2022-05-26,2022,Outpatient,22.0
Pathology,2022-05-26,2022,Outpatient,166.0
Plastic Surgery,2022-05-26,2022,Outpatient,17799.0
Psychiatry,2022-05-26,2022,Outpatient,529.0
Radiology,2022-05-26,2022,Outpatient,36.0
Radiotherapy,2022-05-26,2022,Outpatient,53.0
Respiratory Medicine,2022-05-26,2022,Outpatient,19023.0
Rheumatology,2022-05-26,2022,Outpatient,16818.0
Small Volume Specialities,2022-05-26,2022,Outpatient,87.0
Urology,2022-05-26,2022,Outpatient,28530.0
Vascular Surgery,2022-05-26,2022,Outpatient,14400.0
Cardio-Thoracic Surgery,2022-05-26,2022,Outpatient,86.0
Cardiology,2022-05-26,2022,Outpatient,87.0
Child/Adolescent Psychiatry,2022-05-26,2022,Outpatient,64.0
Clinical (Medical) Genetics,2022-05-26,2022,Outpatient,1814.0
Clinical Immunology,2022-05-26,2022,Outpatient,1049.0
Dental Surgery,2022-05-26,2022,Outpatient,555.0
Dermatology,2022-05-26,2022,Outpatient,3555.0
Developmental Paediatrics,2022-05-26,2022,Outpatient,1081.0
Gastro-Enterology,2022-05-26,2022,Outpatient,33.0
General Medicine,2022-05-26,2022,Outpatient,42.0
General Surgery,2022-05-26,2022,Outpatient,1750.0
Gynaecology,2022-05-26,2022,Outpatient,627.0
Haematology,2022-05-26,2022,Outpatient,86.0
Immunology,2022-05-26,2022,Outpatient,471.0
Maxillo-Facial,2022-05-26,2022,Outpatient,333.0
Neurology,2022-05-26,2022,Outpatient,38.0
Neurosurgery,2022-05-26,2022,Outpatient,21.0
Ophthalmology,2022-05-26,2022,Outpatient,5346.0
Oral Surgery,2022-05-26,2022,Outpatient,208.0
Orthopaedics,2022-05-26,2022,Outpatient,3096.0
Otolaryngology (ENT),2022-05-26,2022,Outpatient,10344.0
Paed Cardiology,2022-05-26,2022,Outpatient,3940.0
Paed Endocrinology,2022-05-26,2022,Outpatient,908.0
Paed Gastro-Enterol,2022-05-26,2022,Outpatient,749.0
Paed Haematology,2022-05-26,2022,Outpatient,283.0
Paed Metabolic Medicine,2022-05-26,2022,Outpatient,61.0
Paed Nephrology,2022-05-26,2022,Outpatient,486.0
Paed Orthopaedic,2022-05-26,2022,Outpatient,4379.0
Paediatric Dermatology,2022-05-26,2022,Outpatient,5909.0
Paediatric ENT,2022-05-26,2022,Outpatient,5742.0
Paediatric Infectious Diseases,2022-05-26,2022,Outpatient,135.0
Paediatric Neurology,2022-05-26,2022,Outpatient,1307.0
Paediatric Neurosurgery,2022-05-26,2022,Outpatient,50.0
Paediatric Respiratory Medicine,2022-05-26,2022,Outpatient,2010.0
Paediatric Surgery,2022-05-26,2022,Outpatient,5259.0
Paediatric Urology,2022-05-26,2022,Outpatient,1304.0
Paediatrics,2022-05-26,2022,Outpatient,17659.0
Pain Relief,2022-05-26,2022,Outpatient,38.0
Plastic Surgery,2022-05-26,2022,Outpatient,2076.0
Rheumatology,2022-05-26,2022,Outpatient,1259.0
Small Volume Specialities,2022-05-26,2022,Outpatient,125.0
Urology,2022-05-26,2022,Outpatient,2873.0
Anaesthetics,2022-06-30,2022,Outpatient,317.0
Audiological Medicine,2022-06-30,2022,Outpatient,73.0
Breast Surgery,2022-06-30,2022,Outpatient,2035.0
Cardio-Thoracic Surgery,2022-06-30,2022,Outpatient,335.0
Cardiology,2022-06-30,2022,Outpatient,32703.0
Chemical Pathology,2022-06-30,2022,Outpatient,123.0
Clinical (Medical) Genetics,2022-06-30,2022,Outpatient,2679.0
Clinical Immunology,2022-06-30,2022,Outpatient,1503.0
Clinical Neurophysiology,2022-06-30,2022,Outpatient,2260.0
Dermatology,2022-06-30,2022,Outpatient,39501.0
Diabetes Mellitus,2022-06-30,2022,Outpatient,2031.0
Endocrinology,2022-06-30,2022,Outpatient,19068.0
Gastro-Enterology,2022-06-30,2022,Outpatient,16307.0
Gastro-Intestinal Surgery,2022-06-30,2022,Outpatient,722.0
General Medicine,2022-06-30,2022,Outpatient,20954.0
General Surgery,2022-06-30,2022,Outpatient,42486.0
Geriatric Medicine,2022-06-30,2022,Outpatient,3654.0
Gynaecology,2022-06-30,2022,Outpatient,32313.0
Haematology,2022-06-30,2022,Outpatient,8762.0
Hepato-Biliary Surgery,2022-06-30,2022,Outpatient,120.0
Infectious Diseases,2022-06-30,2022,Outpatient,757.0
Maxillo-Facial,2022-06-30,2022,Outpatient,4449.0
Metabolic Medicine,2022-06-30,2022,Outpatient,246.0
Microbiology,2022-06-30,2022,Outpatient,47.0
Nephrology,2022-06-30,2022,Outpatient,3572.0
Neurology,2022-06-30,2022,Outpatient,24117.0
Neurosurgery,2022-06-30,2022,Outpatient,8279.0
Oncology,2022-06-30,2022,Outpatient,605.0
Ophthalmology,2022-06-30,2022,Outpatient,38284.0
Oral Surgery,2022-06-30,2022,Outpatient,2496.0
Orthopaedics,2022-06-30,2022,Outpatient,67562.0
Otolaryngology (ENT),2022-06-30,2022,Outpatient,47427.0
Paed Cardiology,2022-06-30,2022,Outpatient,24.0
Paediatric ENT,2022-06-30,2022,Outpatient,26.0
Paediatric Neurology,2022-06-30,2022,Outpatient,29.0
Paediatrics,2022-06-30,2022,Outpatient,168.0
Pain Relief,2022-06-30,2022,Outpatient,13667.0
Palliative Medicine,2022-06-30,2022,Outpatient,26.0
Pathology,2022-06-30,2022,Outpatient,166.0
Plastic Surgery,2022-06-30,2022,Outpatient,17736.0
Psychiatry,2022-06-30,2022,Outpatient,549.0
Radiology,2022-06-30,2022,Outpatient,33.0
Radiotherapy,2022-06-30,2022,Outpatient,39.0
Respiratory Medicine,2022-06-30,2022,Outpatient,19219.0
Rheumatology,2022-06-30,2022,Outpatient,16629.0
Small Volume Specialities,2022-06-30,2022,Outpatient,76.0
Urology,2022-06-30,2022,Outpatient,27805.0
Vascular Surgery,2022-06-30,2022,Outpatient,14715.0
Cardio-Thoracic Surgery,2022-06-30,2022,Outpatient,84.0
Cardiology,2022-06-30,2022,Outpatient,86.0
Child/Adolescent Psychiatry,2022-06-30,2022,Outpatient,32.0
Clinical (Medical) Genetics,2022-06-30,2022,Outpatient,1739.0
Clinical Immunology,2022-06-30,2022,Outpatient,938.0
Dental Surgery,2022-06-30,2022,Outpatient,551.0
Dermatology,2022-06-30,2022,Outpatient,3618.0
Developmental Paediatrics,2022-06-30,2022,Outpatient,1094.0
Gastro-Enterology,2022-06-30,2022,Outpatient,35.0
General Medicine,2022-06-30,2022,Outpatient,35.0
General Surgery,2022-06-30,2022,Outpatient,1710.0
Gynaecology,2022-06-30,2022,Outpatient,663.0
Haematology,2022-06-30,2022,Outpatient,74.0
Immunology,2022-06-30,2022,Outpatient,457.0
Maxillo-Facial,2022-06-30,2022,Outpatient,310.0
Neurology,2022-06-30,2022,Outpatient,41.0
Neurosurgery,2022-06-30,2022,Outpatient,28.0
Ophthalmology,2022-06-30,2022,Outpatient,5253.0
Oral Surgery,2022-06-30,2022,Outpatient,201.0
Orthopaedics,2022-06-30,2022,Outpatient,3084.0
Otolaryngology (ENT),2022-06-30,2022,Outpatient,10104.0
Paed Cardiology,2022-06-30,2022,Outpatient,4077.0
Paed Endocrinology,2022-06-30,2022,Outpatient,932.0
Paed Gastro-Enterol,2022-06-30,2022,Outpatient,769.0
Paed Haematology,2022-06-30,2022,Outpatient,300.0
Paed Metabolic Medicine,2022-06-30,2022,Outpatient,62.0
Paed Nephrology,2022-06-30,2022,Outpatient,466.0
Paed Orthopaedic,2022-06-30,2022,Outpatient,4446.0
