hospital,specialty,date,year,wait_type,total_waiting,0-6 Months,6-12 Months,12-18 Months,18+ Months,pct_over_12m
Children's Health Ireland,Dermatology,,2019,Outpatient,82.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Dermatology,,2019,Outpatient,84.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Diabetes Mellitus,,2019,Outpatient,2.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Otolaryngology (ENT),,2019,Outpatient,5.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Otolaryngology (ENT),,2019,Outpatient,9.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Otolaryngology (ENT),,2019,Outpatient,13.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Otolaryngology (ENT),,2019,Outpatient,117.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric ENT,,2019,Outpatient,14.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurology,,2019,Outpatient,3.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Neurology,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurosurgery,,2019,Outpatient,8.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurosurgery,,2019,Outpatient,2.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neurosurgery,,2019,Outpatient,8.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Gynaecology,,2019,Outpatient,48.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Ophthalmology,,2019,Outpatient,1491.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Ophthalmology,,2019,Outpatient,9.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Ophthalmology,,2019,Outpatient,4.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Ophthalmology,,2019,Outpatient,117.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Orthopaedics,,2019,Outpatient,589.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Orthopaedics,,2019,Outpatient,538.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Orthopaedics,,2019,Outpatient,415.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Orthopaedics,,2019,Outpatient,293.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Orthopaedic,,2019,Outpatient,25.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatrics,,2019,Outpatient,367.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatrics,,2019,Outpatient,1052.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatrics,,2019,Outpatient,12.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatrics,,2019,Outpatient,23.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatrics,,2019,Outpatient,86.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Cardiology,,2019,Outpatient,704.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Cardiology,,2019,Outpatient,543.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Cardiology,,2019,Outpatient,447.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Cardiology,,2019,Outpatient,463.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Cardiology,,2019,Outpatient,10.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Cardiology,,2019,Outpatient,24.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Oncology,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Neonatology,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Endocrinology,,2019,Outpatient,4.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Gastro-Enterol,,2019,Outpatient,68.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Gastro-Enterol,,2019,Outpatient,32.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Nephrology,,2019,Outpatient,106.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Nephrology,,2019,Outpatient,2.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Nephrology,,2019,Outpatient,2.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Nephrology,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paed Nephrology,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Dermatology,,2019,Outpatient,111.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Dermatology,,2019,Outpatient,82.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Dermatology,,2019,Outpatient,75.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Developmental Paediatrics,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Plastic Surgery,,2019,Outpatient,87.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Plastic Surgery,,2019,Outpatient,396.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Plastic Surgery,,2019,Outpatient,53.0,0.0,0.0,0.0,0.0,0.0
